Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=028300,2020.05.21,"102,900","1,800",+1.78%,"401,699","-11,763","+22,174","4,377,577",10.12%
https://finance.naver.com/item/frgn.nhn?code=028300,2020.05.20,"101,100",800,+0.80%,"440,227","+9,008","+19,656","4,399,026",10.17%
https://finance.naver.com/item/frgn.nhn?code=028300,2020.05.19,"100,300","2,000",+2.03%,"531,775","+9,926","-10,119","4,376,472",10.12%
https://finance.naver.com/item/frgn.nhn?code=298020,2020.05.25,"138,000","1,000",+0.73%,"8,664",+722,+360,"518,613",11.98%
https://finance.naver.com/item/frgn.nhn?code=298020,2020.05.22,"137,000","4,000",-2.84%,"10,333",-193,"-1,083","518,253",11.98%
https://finance.naver.com/item/frgn.nhn?code=298020,2020.05.21,"141,000","2,500",+1.81%,"20,048","-2,312","-2,882","520,436",12.03%
https://finance.naver.com/item/frgn.nhn?code=298020,2020.05.20,"138,500","3,000",+2.21%,"18,750","-5,208",-992,"523,318",12.09%
https://finance.naver.com/item/frgn.nhn?code=298020,2020.05.19,"135,500","3,000",+2.26%,"17,495",+833,-35,"524,310",12.12%
https://finance.naver.com/item/frgn.nhn?code=123860,2020.05.25,"23,400",150,+0.65%,"103,681","+8,810","+1,225","247,069",2.44%
https://finance.naver.com/item/frgn.nhn?code=123860,2020.05.22,"23,250","1,050",+4.73%,"155,967","+22,879","+2,967","245,844",2.43%
https://finance.naver.com/item/frgn.nhn?code=123860,2020.05.21,"22,200",400,+1.83%,"108,019","+8,759","-4,141","240,822",2.38%
https://finance.naver.com/item/frgn.nhn?code=123860,2020.05.20,"21,800",750,+3.56%,"117,825","+9,350","+7,469","244,963",2.42%
https://finance.naver.com/item/frgn.nhn?code=123860,2020.05.19,"21,050",150,-0.71%,"135,053","+12,180","-10,017","237,494",2.34%
https://finance.naver.com/item/frgn.nhn?code=010780,2020.05.25,"28,650","1,950",+7.30%,"128,220","+25,721","-2,480","1,721,756",5.57%
https://finance.naver.com/item/frgn.nhn?code=010780,2020.05.22,"26,700",50,+0.19%,"108,497","+45,868","-40,231","1,724,236",5.58%
https://finance.naver.com/item/frgn.nhn?code=010780,2020.05.21,"26,650",250,-0.93%,"77,611","-6,663","-36,429","1,763,467",5.71%
https://finance.naver.com/item/frgn.nhn?code=010780,2020.05.20,"26,900",500,+1.89%,"68,322","+8,472","-3,717","1,802,776",5.84%
https://finance.naver.com/item/frgn.nhn?code=010780,2020.05.19,"26,400","1,100",+4.35%,"120,959","+11,987","+11,954","1,806,349",5.85%
https://finance.naver.com/item/frgn.nhn?code=001550,2020.05.25,"16,050",200,-1.23%,"32,611",+1,"+1,143","69,414",1.34%
https://finance.naver.com/item/frgn.nhn?code=001550,2020.05.22,"16,250",100,-0.61%,"37,871",-24,"-5,448","68,271",1.31%
https://finance.naver.com/item/frgn.nhn?code=001550,2020.05.21,"16,350",100,-0.61%,"40,154",-1,"+7,469","73,719",1.42%
https://finance.naver.com/item/frgn.nhn?code=001550,2020.05.20,"16,450",150,+0.92%,"60,004",-1,"+2,376","66,846",1.29%
https://finance.naver.com/item/frgn.nhn?code=001550,2020.05.19,"16,300",250,+1.56%,"46,312",-25,"+8,083","64,470",1.24%
https://finance.naver.com/item/frgn.nhn?code=307950,2020.05.25,"43,750","2,750",+6.71%,"134,115","+9,199","-16,429","254,731",1.21%
https://finance.naver.com/item/frgn.nhn?code=307950,2020.05.22,"41,000","1,450",-3.42%,"60,651",+776,"-5,625","271,160",1.29%
https://finance.naver.com/item/frgn.nhn?code=307950,2020.05.21,"42,450",500,-1.16%,"36,600","-1,302","+4,066","276,785",1.32%
https://finance.naver.com/item/frgn.nhn?code=307950,2020.05.20,"42,950",300,+0.70%,"30,914",+911,"+1,805","272,719",1.30%
https://finance.naver.com/item/frgn.nhn?code=307950,2020.05.19,"42,650",450,-1.04%,"52,327","-9,178",-234,"270,914",1.29%
https://finance.naver.com/item/frgn.nhn?code=035250,2020.05.25,"24,950",150,+0.60%,"569,900","+105,392","-44,947","56,811,502",26.55%
https://finance.naver.com/item/frgn.nhn?code=035250,2020.05.22,"24,800",100,-0.40%,"885,067","+166,209","-101,151","56,856,449",26.58%
https://finance.naver.com/item/frgn.nhn?code=035250,2020.05.21,"24,900",100,-0.40%,"930,611","+117,009","-216,314","56,957,600",26.62%
https://finance.naver.com/item/frgn.nhn?code=035250,2020.05.20,"25,000","1,200",+5.04%,"2,267,014","+517,332","+454,438","57,172,809",26.72%
https://finance.naver.com/item/frgn.nhn?code=035250,2020.05.19,"23,800",900,+3.93%,"1,389,176","+291,797","-176,788","56,717,045",26.51%
https://finance.naver.com/item/frgn.nhn?code=086820,2020.05.25,"25,050",250,+1.01%,"118,827","+3,762","+2,063","75,158",0.93%
https://finance.naver.com/item/frgn.nhn?code=086820,2020.05.22,"24,800",700,-2.75%,"149,447",0,"-2,096","73,095",0.90%
https://finance.naver.com/item/frgn.nhn?code=086820,2020.05.21,"25,500",100,-0.39%,"222,732",0,"-27,036","75,191",0.93%
